player_display_name,predicted_points,vorp,position,pos_rank,overall_rank
Jahmyr Gibbs,281.1726,155.88367,RB,1,1
Bijan Robinson,279.07925,153.79031,RB,2,2
Jaxon Smith-Njigba,278.43158,132.82962,WR,1,3
De'Von Achane,252.96527,127.67634,RB,3,4
Trey McBride,254.76093,126.41409,TE,1,5
Ja'Marr Chase,261.71216,116.1102,WR,2,6
Jonathan Taylor,238.10371,112.81478,RB,4,7
Puka Nacua,253.14996,107.548004,WR,3,8
Chase Brown,232.12695,106.83802,RB,5,9
Amon-Ra St. Brown,248.50978,102.90782,WR,4,10
James Cook,221.995,96.70606,RB,6,11
Kyren Williams,209.40068,84.11175,RB,7,12
Derrick Henry,208.6541,83.365166,RB,8,13
Christian McCaffrey,207.3633,82.07436,RB,9,14
Zay Flowers,226.68657,81.08461,WR,5,15
George Pickens,218.37552,72.77356,WR,6,16
Breece Hall,197.26668,71.977745,RB,10,17
Baker Mayfield,272.9755,66.69011,QB,1,18
Saquon Barkley,191.01749,65.72855,RB,11,19
Josh Jacobs,190.42923,65.1403,RB,12,20
Travis Etienne,189.06567,63.77674,RB,13,21
Javonte Williams,187.13028,61.841347,RB,14,22
Patrick Mahomes,264.00577,57.720383,QB,2,23
Ashton Jeanty,180.67024,55.38131,RB,15,24
D'Andre Swift,180.538,55.24906,RB,16,25
TreVeyon Henderson,178.63333,53.3444,RB,17,26
AJ Barner,181.58174,53.23491,TE,2,27
Bo Nix,259.41586,53.130478,QB,3,28
Tetairoa McMillan,192.17465,46.572693,WR,7,29
Jameson Williams,191.97675,46.374786,WR,8,30
Omarion Hampton,170.29651,45.007576,RB,18,31
Kyle Pitts,173.17288,44.82605,TE,3,32
RJ Harvey,168.28098,42.992043,RB,19,33
Chris Olave,185.13417,39.53221,WR,9,34
Brian Thomas Jr.,183.68307,38.081116,WR,10,35
Kenneth Walker III,160.02577,34.73684,RB,20,36
Zach Charbonnet,155.61389,30.324959,RB,21,37
Rachaad White,155.09244,29.803505,RB,22,38
Lamar Jackson,235.80751,29.522125,QB,4,39
Drake London,174.20761,28.605652,WR,11,40
Wan'Dale Robinson,172.60524,27.00328,WR,12,41
Colston Loveland,155.19061,26.84378,TE,4,42
Jared Goff,232.85881,26.573425,QB,5,43
Quentin Johnston,171.85358,26.251617,WR,13,44
Justin Jefferson,171.532,25.930038,WR,14,45
Josh Allen,232.00978,25.724396,QB,6,46
Juwan Johnson,152.99925,24.65242,TE,5,47
Mark Andrews,152.21861,23.87178,TE,6,48
Hunter Henry,151.84239,23.49556,TE,7,49
Rico Dowdle,143.40588,18.116951,RB,23,50
Dalton Schultz,145.9913,17.64447,TE,8,51
Ladd McConkey,162.78238,17.18042,WR,15,52
Malik Nabers,162.69975,17.097794,WR,16,53
Sam Darnold,222.92857,16.643188,QB,7,54
Tony Pollard,141.59164,16.302711,RB,24,55
Quinshon Judkins,141.50493,16.215996,RB,25,56
Rhamondre Stevenson,140.71204,15.423103,RB,26,57
David Montgomery,138.58377,13.294838,RB,27,58
Jordan Love,218.60266,12.317276,QB,8,59
Brock Purdy,218.56403,12.278641,QB,9,60
A.J. Brown,156.97733,11.375366,WR,17,61
Luther Burden III,156.84457,11.242615,WR,18,62
DeVonta Smith,156.72252,11.12056,WR,19,63
Michael Wilson,156.27472,10.67276,WR,20,64
Parker Washington,155.26707,9.665115,WR,21,65
Brock Bowers,137.62135,9.274521,TE,9,66
Matthew Stafford,214.95958,8.674194,QB,10,67
CeeDee Lamb,152.45181,6.8498535,WR,22,68
Dallas Goedert,133.36742,5.020584,TE,10,69
Xavier Worthy,150.56296,4.9609985,WR,23,70
Jakobi Meyers,150.26021,4.658249,WR,24,71
DJ Moore,149.53558,3.9336243,WR,25,72
Jordan Mason,128.84506,3.5561295,RB,28,73
Khalil Shakir,148.31119,2.7092285,WR,26,74
Terry McLaurin,146.51875,0.9167938,WR,27,75
Tyler Warren,129.03476,0.68792725,TE,11,76
Tre Tucker,146.28409,0.6821289,WR,28,77
Nico Collins,146.08456,0.48260498,WR,29,78
Kenny Gainwell,125.55527,0.26633453,RB,29,79
Drake Maye,206.50345,0.21806335,QB,11,80
Jaxson Dart,206.28539,0.0,QB,12,81
Tyjae Spears,125.28893,0.0,RB,30,82
Jake Ferguson,128.34683,0.0,TE,12,83
Stefon Diggs,145.60196,0.0,WR,30,84
Joe Burrow,206.08278,-0.2026062,QB,13,85
Davante Adams,145.30258,-0.29937744,WR,31,86
Alec Pierce,145.11523,-0.48672485,WR,32,87
Jaylen Warren,123.56218,-1.7267532,RB,31,88
Sam LaPorta,125.38806,-2.9587708,TE,13,89
Bucky Irving,122.03745,-3.25148,RB,32,90
Tyrone Tracy Jr.,121.852196,-3.436737,RB,33,91
Chuba Hubbard,120.545265,-4.7436676,RB,34,92
Rome Odunze,140.46396,-5.1380005,WR,33,93
Kyle Monangai,119.456436,-5.8324966,RB,35,94
J.K. Dobbins,119.06414,-6.2247925,RB,36,95
Jaylen Waddle,139.2725,-6.3294525,WR,34,96
Garrett Wilson,139.01378,-6.5881805,WR,35,97
Emeka Egbuka,137.02628,-8.575684,WR,36,98
Troy Franklin,136.49692,-9.1050415,WR,37,99
Oronde Gadsden II,119.22011,-9.126724,TE,14,100
Kareem Hunt,116.07845,-9.21048,RB,37,101
Courtland Sutton,135.76566,-9.836304,WR,38,102
Harold Fannin Jr.,117.342285,-11.004547,TE,15,103
George Kittle,116.89021,-11.456619,TE,16,104
Josh Downs,133.90767,-11.69429,WR,39,105
Jerry Jeudy,133.11781,-12.484146,WR,40,106
Keenan Allen,132.8231,-12.778854,WR,41,107
Tee Higgins,132.1814,-13.420563,WR,42,108
Aaron Jones,110.82122,-14.467712,RB,38,109
Travis Kelce,113.54536,-14.801476,TE,17,110
Brenton Strange,112.78452,-15.562309,TE,18,111
Marvin Harrison Jr.,129.07158,-16.53038,WR,43,112
Jalen Hurts,188.69112,-17.594269,QB,14,113
Jayden Higgins,127.90119,-17.700768,WR,44,114
Pat Freiermuth,110.318794,-18.028038,TE,19,115
Bryce Young,188.19264,-18.092743,QB,15,116
Woody Marks,106.42834,-18.860596,RB,39,117
Cade Otton,109.0684,-19.278435,TE,20,118
Cam Skattebo,105.73485,-19.554085,RB,40,119
Jacory Croskey-Merritt,105.49912,-19.78981,RB,41,120
Rashid Shaheed,124.978836,-20.623123,WR,45,121
Alvin Kamara,104.64307,-20.645866,RB,42,122
DK Metcalf,124.11441,-21.487549,WR,46,123
Marvin Mims Jr.,123.97725,-21.62471,WR,47,124
Caleb Williams,184.35332,-21.932068,QB,16,125
Deebo Samuel Sr.,123.61396,-21.987999,WR,48,126
Matthew Golden,123.434654,-22.167305,WR,49,127
Adonai Mitchell,123.115974,-22.485985,WR,50,128
C.J. Stroud,183.10042,-23.184967,QB,17,129
Tucker Kraft,104.41731,-23.92952,TE,21,130
Jordan Addison,121.154015,-24.447945,WR,51,131
Mason Taylor,103.41019,-24.936646,TE,22,132
Dalton Kincaid,103.14093,-25.205902,TE,23,133
Chimere Dike,120.29061,-25.311348,WR,52,134
Elic Ayomanor,120.17365,-25.428307,WR,53,135
Isaiah Davis,99.67356,-25.615372,RB,43,136
Jauan Jennings,119.48173,-26.120232,WR,54,137
Emanuel Wilson,98.83327,-26.455666,RB,44,138
Romeo Doubs,119.13777,-26.464188,WR,55,139
Daniel Jones,179.69621,-26.589172,QB,18,140
Kayshon Boutte,118.58757,-27.014389,WR,56,141
Najee Harris,97.65759,-27.63134,RB,45,142
Chig Okonkwo,100.69454,-27.65229,TE,24,143
Mike Evans,116.31733,-29.28463,WR,57,144
Blake Corum,95.70166,-29.587273,RB,46,145
Michael Pittman,115.85675,-29.745209,WR,58,146
Trevor Lawrence,176.18576,-30.099625,QB,19,147
Xavier Legette,114.48918,-31.112778,WR,59,148
